2742.742951,gneJ0,gneJ6
2822.916288,9876,9747
2907.961372,27780,27320
2938.025772,39519,39550
3008.127509,51169,51336
3038.134587,63641,63832
3108.208746,78540,73703
3138.337029,94817,81749
3208.671550,111448,89707
3238.812468,127409,98287
3309.043338,142329,108339
3339.251847,157797,117328
3409.312435,173541,127156
3439.475871,188673,136817
3509.783716,204162,146475
3540.009273,217777,157766
3610.349116,231702,168615
3640.803273,244867,180169
3711.034883,256713,191154
3741.233757,270434,203078
3811.440599,282817,213881
3841.737892,295120,224985
3912.189915,308205,235825
3942.274681,318638,245846
4012.529228,332540,257887
4042.742454,345381,269434
4113.036161,358053,281163
4143.328501,370655,292962
4213.704631,384722,304652
4244.090979,396645,315938
4314.211253,408427,327164
4344.302782,420216,338113
4414.504683,433464,349921
4444.919953,446705,361826
4515.232575,459416,373613
4545.676085,471305,384726
4615.680983,483477,395935
4645.750506,496035,407367
4715.897736,509364,419083
4746.319269,522400,430984
4816.558841,534311,441998
4846.849368,548029,454053
4917.025333,560745,465794
4947.030397,573679,476874
5017.399616,585934,488387
5047.441516,598150,499593
5117.752536,611481,511686
5147.895992,624626,523157
5217.937309,637557,534936
5248.004265,650155,546362
5318.251499,662209,557709
5348.347876,674903,568918
