2742.742951,gneJ0,gneJ6
2822.885835,11010,10809
2907.933636,15084,15020
2938.002631,15126,15025
3008.089581,15189,15050
3038.113207,15142,15038
3108.192036,15215,15023
3138.317939,15152,15011
3208.634572,15190,15017
3238.783409,15141,15021
3309.028069,15118,15013
3339.195021,15171,15015
3409.271951,15198,15034
3439.465053,15117,15010
3509.752367,15171,15020
3539.976769,15104,15020
3610.309260,15133,15015
3640.744255,15189,15036
3710.989888,15197,15030
3741.223219,15144,15033
3811.387527,15242,15048
3841.706265,15125,15019
3912.124416,15258,15054
3942.207551,15169,15029
4012.481245,15141,15017
4042.693458,15174,15042
4112.991049,15212,15034
4143.295108,15176,15037
4213.689104,15150,15034
4244.038698,15165,15028
4314.161212,15172,15037
4344.250590,15165,15035
4414.467837,15107,15019
4444.878532,15158,15034
4515.221186,15161,15028
4545.625164,15218,15036
4615.644340,15155,15031
4645.719511,15217,15039
4715.884406,15098,15016
4746.309721,15181,15045
4816.511792,15182,15021
4846.785604,15170,15028
4916.966816,15159,15047
4947.006022,15169,15016
5017.349002,15202,15039
5047.409278,15157,15024
5117.740210,15162,15031
5147.855431,15200,15025
5217.889754,15178,15030
5247.962345,15125,15008
5318.225655,15210,15027
5348.324350,15181,15036
