2742.742951,gneJ0,gneJ6
2822.880611,0,0
2907.922283,4,8
2937.995697,328,332
3008.076612,612,616
3038.068092,912,916
3108.186895,1252,1256
3138.303296,1580,1584
3208.613980,1936,1940
3238.746879,2284,2288
3309.022912,2636,2640
3339.179762,2988,2992
3409.262161,3324,3328
3439.454783,3644,3648
3509.744257,3980,3984
3539.956492,4288,4292
3610.299187,4600,4604
3640.737367,4900,4904
3710.981477,5172,5176
3741.193582,5492,5496
3811.381620,5784,5788
3841.668452,6076,6080
3912.119721,6380,6384
3942.203052,6624,6628
4012.472796,6944,6948
4042.686242,7240,7244
4112.977980,7532,7536
4143.288395,7816,7820
4213.680785,8136,8140
4244.032851,8408,8412
4314.155499,8676,8680
4344.243458,8940,8944
4414.461194,9244,9248
4444.873038,9548,9552
4515.212915,9832,9836
4545.618470,10104,10108
4615.635544,10380,10384
4645.712055,10664,10668
4715.879358,10968,10972
4746.298759,11268,11272
4816.506009,11532,11536
4846.776657,11844,11848
4916.962351,12136,12140
4947.001027,12428,12432
5017.343378,12712,12716
5047.403094,12996,13000
5117.718910,13300,13304
5147.850161,13596,13600
5217.875432,13892,13896
5247.957224,14188,14192
5318.219229,14468,14472
5348.319016,14756,14760
