2444.355626,gneJ0,gneJ6
2651.238535,7609,7535
2851.187567,7638,7535
3051.734813,7607,7517
3252.498371,7604,7517
3452.651600,7630,7516
3653.226433,7683,7532
3853.816058,7623,7522
4054.394761,7649,7522
4254.451888,7626,7517
4454.692500,7617,7516
4654.900131,7667,7521
4855.197051,7659,7512
5055.862504,7636,7515
5256.655395,7664,7519
5456.808940,7691,7517
5656.945730,7672,7532
5857.443707,7689,7526
0057.493490,7686,7530
0257.646089,7673,7526
0458.140818,7683,7523
0658.265059,7667,7522
0858.958541,7655,7517
1058.991400,7661,7522
1259.590317,7685,7524
1500.057578,7663,7525
