2444.355626,gneJ0,gneJ6
2651.232168,408,412
2851.165314,976,980
3051.713442,1552,1556
3252.485767,2136,2140
3452.624196,2720,2724
3653.199419,3308,3312
3853.798427,3908,3912
4054.385934,4496,4500
4254.438066,5104,5108
4454.688502,5708,5712
4654.871498,6300,6304
4855.193481,6896,6900
5055.858691,7512,7516
5256.637195,8120,8124
5456.793762,8732,8736
5656.940112,9348,9352
5857.420009,9968,9972
0057.466393,10588,10592
0257.637741,11204,11208
0458.136348,11824,11828
0658.261408,12436,12440
0858.950651,13052,13056
1058.983833,13664,13668
1259.582754,14280,14284
1500.053287,14896,14900
