2023-06-04-20-27-42.742951,gneJ0,gneJ6
2023-06-04-20-28-22.916288,9876,9747
2023-06-04-20-29-07.961372,27780,27320
2023-06-04-20-29-38.025772,39519,39550
2023-06-04-20-30-08.127509,51169,51336
2023-06-04-20-30-38.134587,63641,63832
2023-06-04-20-31-08.208746,78540,73703
2023-06-04-20-31-38.337029,94817,81749
2023-06-04-20-32-08.671550,111448,89707
2023-06-04-20-32-38.812468,127409,98287
2023-06-04-20-33-09.043338,142329,108339
2023-06-04-20-33-39.251847,157797,117328
2023-06-04-20-34-09.312435,173541,127156
2023-06-04-20-34-39.475871,188673,136817
2023-06-04-20-35-09.783716,204162,146475
2023-06-04-20-35-40.009273,217777,157766
2023-06-04-20-36-10.349116,231702,168615
2023-06-04-20-36-40.803273,244867,180169
2023-06-04-20-37-11.034883,256713,191154
2023-06-04-20-37-41.233757,270434,203078
2023-06-04-20-38-11.440599,282817,213881
2023-06-04-20-38-41.737892,295120,224985
2023-06-04-20-39-12.189915,308205,235825
2023-06-04-20-39-42.274681,318638,245846
2023-06-04-20-40-12.529228,332540,257887
2023-06-04-20-40-42.742454,345381,269434
2023-06-04-20-41-13.036161,358053,281163
2023-06-04-20-41-43.328501,370655,292962
2023-06-04-20-42-13.704631,384722,304652
2023-06-04-20-42-44.090979,396645,315938
2023-06-04-20-43-14.211253,408427,327164
2023-06-04-20-43-44.302782,420216,338113
2023-06-04-20-44-14.504683,433464,349921
2023-06-04-20-44-44.919953,446705,361826
2023-06-04-20-45-15.232575,459416,373613
2023-06-04-20-45-45.676085,471305,384726
2023-06-04-20-46-15.680983,483477,395935
2023-06-04-20-46-45.750506,496035,407367
2023-06-04-20-47-15.897736,509364,419083
2023-06-04-20-47-46.319269,522400,430984
2023-06-04-20-48-16.558841,534311,441998
2023-06-04-20-48-46.849368,548029,454053
2023-06-04-20-49-17.025333,560745,465794
2023-06-04-20-49-47.030397,573679,476874
2023-06-04-20-50-17.399616,585934,488387
2023-06-04-20-50-47.441516,598150,499593
2023-06-04-20-51-17.752536,611481,511686
2023-06-04-20-51-47.895992,624626,523157
2023-06-04-20-52-17.937309,637557,534936
2023-06-04-20-52-48.004265,650155,546362
2023-06-04-20-53-18.251499,662209,557709
2023-06-04-20-53-48.347876,674903,568918
