2023-06-04-20-27-42.742951,gneJ0,gneJ6
2023-06-04-20-28-22.885835,11010,10809
2023-06-04-20-29-07.933636,15084,15020
2023-06-04-20-29-38.002631,15126,15025
2023-06-04-20-30-08.089581,15189,15050
2023-06-04-20-30-38.113207,15142,15038
2023-06-04-20-31-08.192036,15215,15023
2023-06-04-20-31-38.317939,15152,15011
2023-06-04-20-32-08.634572,15190,15017
2023-06-04-20-32-38.783409,15141,15021
2023-06-04-20-33-09.028069,15118,15013
2023-06-04-20-33-39.195021,15171,15015
2023-06-04-20-34-09.271951,15198,15034
2023-06-04-20-34-39.465053,15117,15010
2023-06-04-20-35-09.752367,15171,15020
2023-06-04-20-35-39.976769,15104,15020
2023-06-04-20-36-10.309260,15133,15015
2023-06-04-20-36-40.744255,15189,15036
2023-06-04-20-37-10.989888,15197,15030
2023-06-04-20-37-41.223219,15144,15033
2023-06-04-20-38-11.387527,15242,15048
2023-06-04-20-38-41.706265,15125,15019
2023-06-04-20-39-12.124416,15258,15054
2023-06-04-20-39-42.207551,15169,15029
2023-06-04-20-40-12.481245,15141,15017
2023-06-04-20-40-42.693458,15174,15042
2023-06-04-20-41-12.991049,15212,15034
2023-06-04-20-41-43.295108,15176,15037
2023-06-04-20-42-13.689104,15150,15034
2023-06-04-20-42-44.038698,15165,15028
2023-06-04-20-43-14.161212,15172,15037
2023-06-04-20-43-44.250590,15165,15035
2023-06-04-20-44-14.467837,15107,15019
2023-06-04-20-44-44.878532,15158,15034
2023-06-04-20-45-15.221186,15161,15028
2023-06-04-20-45-45.625164,15218,15036
2023-06-04-20-46-15.644340,15155,15031
2023-06-04-20-46-45.719511,15217,15039
2023-06-04-20-47-15.884406,15098,15016
2023-06-04-20-47-46.309721,15181,15045
2023-06-04-20-48-16.511792,15182,15021
2023-06-04-20-48-46.785604,15170,15028
2023-06-04-20-49-16.966816,15159,15047
2023-06-04-20-49-47.006022,15169,15016
2023-06-04-20-50-17.349002,15202,15039
2023-06-04-20-50-47.409278,15157,15024
2023-06-04-20-51-17.740210,15162,15031
2023-06-04-20-51-47.855431,15200,15025
2023-06-04-20-52-17.889754,15178,15030
2023-06-04-20-52-47.962345,15125,15008
2023-06-04-20-53-18.225655,15210,15027
2023-06-04-20-53-48.324350,15181,15036
