2023-06-05-10-24-44.355626,gneJ0,gneJ6
2023-06-05-10-26-51.280340,28436,26437
2023-06-05-10-28-51.197473,54284,52042
2023-06-05-10-30-51.767993,81935,81274
2023-06-05-10-32-52.519038,110387,110632
2023-06-05-10-34-52.665048,140399,141464
2023-06-05-10-36-53.263884,171831,173970
2023-06-05-10-38-53.838129,205412,208365
2023-06-05-10-40-54.410910,235841,239288
2023-06-05-10-42-54.462725,270677,274313
2023-06-05-10-44-54.711485,305135,308728
2023-06-05-10-46-54.928237,336646,340101
2023-06-05-10-48-55.218218,370631,373220
2023-06-05-10-50-55.888423,408453,410708
2023-06-05-10-52-56.668524,444449,446517
2023-06-05-10-54-56.848183,483105,484065
2023-06-05-10-56-56.982906,523389,522736
2023-06-05-10-58-57.465626,562134,560931
2023-06-05-11-00-57.523618,602453,599587
2023-06-05-11-02-57.692512,642622,639280
2023-06-05-11-04-58.154797,682042,678174
2023-06-05-11-06-58.303154,722359,717086
2023-06-05-11-08-58.966693,763211,757822
2023-06-05-11-10-59.012758,804391,799433
2023-06-05-11-12-59.617150,846094,840788
2023-06-05-11-15-00.106079,887853,882329
