2023-06-05-10-24-44.355626,gneJ0,gneJ6
2023-06-05-10-26-51.238535,7609,7535
2023-06-05-10-28-51.187567,7638,7535
2023-06-05-10-30-51.734813,7607,7517
2023-06-05-10-32-52.498371,7604,7517
2023-06-05-10-34-52.651600,7630,7516
2023-06-05-10-36-53.226433,7683,7532
2023-06-05-10-38-53.816058,7623,7522
2023-06-05-10-40-54.394761,7649,7522
2023-06-05-10-42-54.451888,7626,7517
2023-06-05-10-44-54.692500,7617,7516
2023-06-05-10-46-54.900131,7667,7521
2023-06-05-10-48-55.197051,7659,7512
2023-06-05-10-50-55.862504,7636,7515
2023-06-05-10-52-56.655395,7664,7519
2023-06-05-10-54-56.808940,7691,7517
2023-06-05-10-56-56.945730,7672,7532
2023-06-05-10-58-57.443707,7689,7526
2023-06-05-11-00-57.493490,7686,7530
2023-06-05-11-02-57.646089,7673,7526
2023-06-05-11-04-58.140818,7683,7523
2023-06-05-11-06-58.265059,7667,7522
2023-06-05-11-08-58.958541,7655,7517
2023-06-05-11-10-58.991400,7661,7522
2023-06-05-11-12-59.590317,7685,7524
2023-06-05-11-15-00.057578,7663,7525
