2023-06-05-10-24-44.355626,gneJ0,gneJ6
2023-06-05-10-26-51.232168,408,412
2023-06-05-10-28-51.165314,976,980
2023-06-05-10-30-51.713442,1552,1556
2023-06-05-10-32-52.485767,2136,2140
2023-06-05-10-34-52.624196,2720,2724
2023-06-05-10-36-53.199419,3308,3312
2023-06-05-10-38-53.798427,3908,3912
2023-06-05-10-40-54.385934,4496,4500
2023-06-05-10-42-54.438066,5104,5108
2023-06-05-10-44-54.688502,5708,5712
2023-06-05-10-46-54.871498,6300,6304
2023-06-05-10-48-55.193481,6896,6900
2023-06-05-10-50-55.858691,7512,7516
2023-06-05-10-52-56.637195,8120,8124
2023-06-05-10-54-56.793762,8732,8736
2023-06-05-10-56-56.940112,9348,9352
2023-06-05-10-58-57.420009,9968,9972
2023-06-05-11-00-57.466393,10588,10592
2023-06-05-11-02-57.637741,11204,11208
2023-06-05-11-04-58.136348,11824,11828
2023-06-05-11-06-58.261408,12436,12440
2023-06-05-11-08-58.950651,13052,13056
2023-06-05-11-10-58.983833,13664,13668
2023-06-05-11-12-59.582754,14280,14284
2023-06-05-11-15-00.053287,14896,14900
